Id,Label
Washington,Washington
Oregon,Oregon
California,California
Nevada,Nevada
Arizona,Arizona
Texas,Texas
Indiana,Indiana
Louisiana,Louisiana
Florida,Florida
Kentucky,Kentucky
Tennessee,Tennessee
Georgia,Georgia
South Carolina,South Carolina
Kansas,Kansas
Pennsylvania,Pennsylvania
North Carolina,North Carolina
Maryland,Maryland
Virginia,Virginia
New Jersey,New Jersey
Conneticut,Conneticut
Delaware,Delaware
Massachusetts,Massachusetts
New Hampshire,New Hampshire
Colorado,Colorado
Minnesota,Minnesota
Illinois,Illinois
Wisconsin,Wisconsin
Michigan,Michigan
Ohio,Ohio
